CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346.0,326,1,77183.6,1,At-Risk / Need Attention
12347.0,2,7,4310.0,0,High-Value / Champions
12348.0,75,4,1797.24,1,At-Risk / Need Attention
12349.0,19,1,1757.55,1,At-Risk / Need Attention
12350.0,310,1,334.4,2,Low-Engagement / Lost
12352.0,36,8,2506.04,0,High-Value / Champions
12353.0,204,1,89.0,2,Low-Engagement / Lost
12354.0,232,1,1079.4,2,Low-Engagement / Lost
12355.0,214,1,459.4,2,Low-Engagement / Lost
12356.0,23,3,2811.43,1,At-Risk / Need Attention
12357.0,33,1,6207.67,1,At-Risk / Need Attention
12358.0,2,2,1168.06,1,At-Risk / Need Attention
12359.0,58,4,6310.03,1,At-Risk / Need Attention
12360.0,52,3,2662.06,1,At-Risk / Need Attention
12361.0,287,1,189.9,2,Low-Engagement / Lost
12362.0,3,10,5226.23,0,High-Value / Champions
12363.0,110,2,552.0,2,Low-Engagement / Lost
12364.0,8,4,1313.1,1,At-Risk / Need Attention
12365.0,291,2,641.38,2,Low-Engagement / Lost
12367.0,4,1,168.9,1,At-Risk / Need Attention
12370.0,51,4,3541.94,1,At-Risk / Need Attention
12371.0,45,2,1887.96,1,At-Risk / Need Attention
12372.0,72,3,1298.04,1,At-Risk / Need Attention
12373.0,311,1,364.6,2,Low-Engagement / Lost
12374.0,25,1,742.9300000000001,1,At-Risk / Need Attention
12375.0,11,2,457.5,1,At-Risk / Need Attention
12377.0,315,2,1628.12,2,Low-Engagement / Lost
12378.0,130,1,4008.62,1,At-Risk / Need Attention
12379.0,82,2,852.24,1,At-Risk / Need Attention
12380.0,22,4,2724.81,1,At-Risk / Need Attention
12381.0,5,5,1845.31,0,High-Value / Champions
12383.0,185,5,1850.56,1,At-Risk / Need Attention
12384.0,29,2,585.27,1,At-Risk / Need Attention
12386.0,338,2,401.9,2,Low-Engagement / Lost
12388.0,16,6,2780.66,0,High-Value / Champions
12390.0,80,1,549.84,2,Low-Engagement / Lost
12391.0,22,1,439.66,1,At-Risk / Need Attention
12393.0,72,4,1582.6000000000001,1,At-Risk / Need Attention
12394.0,64,2,1272.48,1,At-Risk / Need Attention
12395.0,19,12,3018.63,0,High-Value / Champions
12397.0,36,2,2409.9,1,At-Risk / Need Attention
12398.0,46,1,1635.6599999999999,1,At-Risk / Need Attention
12399.0,119,4,1108.65,1,At-Risk / Need Attention
12401.0,303,1,84.3,2,Low-Engagement / Lost
12402.0,323,1,225.6,2,Low-Engagement / Lost
12403.0,50,1,427.7,2,Low-Engagement / Lost
12405.0,149,1,1710.39,2,Low-Engagement / Lost
12406.0,22,2,3415.3,1,At-Risk / Need Attention
12407.0,50,5,1708.1200000000001,1,At-Risk / Need Attention
12408.0,33,5,2888.55,1,At-Risk / Need Attention
12409.0,79,3,11072.67,1,At-Risk / Need Attention
12410.0,309,2,693.3299999999999,2,Low-Engagement / Lost
12412.0,75,3,1226.88,1,At-Risk / Need Attention
12413.0,67,3,758.1,1,At-Risk / Need Attention
12414.0,217,3,562.41,2,Low-Engagement / Lost
12415.0,24,21,124914.53,0,High-Value / Champions
12417.0,3,9,3649.1,0,High-Value / Champions
12418.0,113,1,668.58,2,Low-Engagement / Lost
12420.0,64,1,600.39,2,Low-Engagement / Lost
12421.0,16,4,807.04,1,At-Risk / Need Attention
12422.0,96,3,803.5600000000001,1,At-Risk / Need Attention
12423.0,1,8,1859.31,0,High-Value / Champions
12424.0,163,2,1760.96,1,At-Risk / Need Attention
12425.0,78,1,777.2,2,Low-Engagement / Lost
12426.0,195,1,582.73,2,Low-Engagement / Lost
12427.0,22,3,825.8,1,At-Risk / Need Attention
12428.0,26,9,7956.46,0,High-Value / Champions
12429.0,9,4,3750.4,0,High-Value / Champions
12430.0,43,1,256.4,2,Low-Engagement / Lost
12431.0,36,15,6419.95,0,High-Value / Champions
12432.0,43,5,5059.32,0,High-Value / Champions
12433.0,1,7,13375.87,0,High-Value / Champions
12434.0,85,2,806.14,1,At-Risk / Need Attention
12435.0,80,2,7829.89,1,At-Risk / Need Attention
