CustomerID,Recency,Frequency,Monetary,TotalQuantity,ProductDiversity,AvgOrderValue,Cluster,Segment
12346,326,1,77183.6,74215,1,77183.6,1,Regular / Growth Potential
12347,2,7,4310.0,2458,103,615.7142857142857,0,High-Value / Champions
12348,75,4,1797.24,2341,22,449.31,1,Regular / Growth Potential
12349,19,1,1757.55,631,73,1757.55,1,Regular / Growth Potential
12350,310,1,334.4,197,17,334.4,2,At-Risk / Low-Engagement
12352,36,8,2506.04,536,59,313.255,0,High-Value / Champions
12353,204,1,89.0,20,4,89.0,2,At-Risk / Low-Engagement
12354,232,1,1079.4,530,58,1079.4,2,At-Risk / Low-Engagement
12355,214,1,459.4,240,13,459.4,2,At-Risk / Low-Engagement
12356,23,3,2811.43,1591,53,937.1433333333333,1,Regular / Growth Potential
12357,33,1,6207.67,2708,131,6207.67,1,Regular / Growth Potential
12358,2,2,1168.06,248,13,584.03,1,Regular / Growth Potential
12359,58,4,6310.03,1609,214,1577.5075,1,Regular / Growth Potential
12360,52,3,2662.06,1165,105,887.3533333333334,1,Regular / Growth Potential
12361,287,1,189.9,91,10,189.9,2,At-Risk / Low-Engagement
12362,3,10,5226.23,2229,201,522.6229999999999,0,High-Value / Champions
12363,110,2,552.0,408,23,276.0,2,At-Risk / Low-Engagement
12364,8,4,1313.1,1506,70,328.275,1,Regular / Growth Potential
12365,291,2,641.38,174,22,320.69,2,At-Risk / Low-Engagement
12367,4,1,168.9,173,11,168.9,1,Regular / Growth Potential
12370,51,4,3541.94,2352,143,885.485,1,Regular / Growth Potential
12371,45,2,1887.96,591,63,943.98,1,Regular / Growth Potential
12372,72,3,1298.04,794,34,432.68,1,Regular / Growth Potential
12373,311,1,364.6,197,14,364.6,2,At-Risk / Low-Engagement
12374,25,1,742.9300000000001,342,33,742.9300000000001,1,Regular / Growth Potential
12375,11,2,457.5,178,14,228.75,1,Regular / Growth Potential
12377,315,2,1628.12,944,72,814.06,2,At-Risk / Low-Engagement
12378,130,1,4008.62,2529,219,4008.62,1,Regular / Growth Potential
12379,82,2,852.24,407,39,426.12,1,Regular / Growth Potential
12380,22,4,2724.81,1127,77,681.2025,1,Regular / Growth Potential
12381,5,5,1845.31,808,70,369.062,0,High-Value / Champions
12383,185,5,1850.56,1532,84,370.11199999999997,1,Regular / Growth Potential
12384,29,2,585.27,126,26,292.635,1,Regular / Growth Potential
12386,338,2,401.9,354,10,200.95,2,At-Risk / Low-Engagement
12388,16,6,2780.66,1462,57,463.4433333333333,0,High-Value / Champions
12390,80,1,549.84,353,32,549.84,2,At-Risk / Low-Engagement
12391,22,1,439.66,293,92,439.66,1,Regular / Growth Potential
12393,72,4,1582.6000000000001,816,47,395.65000000000003,1,Regular / Growth Potential
12394,64,2,1272.48,819,26,636.24,1,Regular / Growth Potential
12395,19,12,3018.63,2118,91,251.5525,0,High-Value / Champions
12397,36,2,2409.9,1263,110,1204.95,1,Regular / Growth Potential
12398,46,1,1635.6599999999999,1394,85,1635.6599999999999,1,Regular / Growth Potential
12399,119,4,1108.65,1178,47,277.1625,1,Regular / Growth Potential
12401,303,1,84.3,11,5,84.3,2,At-Risk / Low-Engagement
12402,323,1,225.6,94,11,225.6,2,At-Risk / Low-Engagement
12403,50,1,427.7,96,5,427.7,2,At-Risk / Low-Engagement
12405,149,1,1710.39,857,54,1710.39,2,At-Risk / Low-Engagement
12406,22,2,3415.3,1818,92,1707.65,1,Regular / Growth Potential
12407,50,5,1708.1200000000001,1416,57,341.624,1,Regular / Growth Potential
12408,33,5,2888.55,1409,81,577.71,1,Regular / Growth Potential
12409,79,3,11072.67,5551,91,3690.89,1,Regular / Growth Potential
12410,309,2,693.3299999999999,211,26,346.66499999999996,2,At-Risk / Low-Engagement
12412,75,3,1226.88,829,43,408.96000000000004,1,Regular / Growth Potential
12413,67,3,758.1,286,29,252.70000000000002,1,Regular / Growth Potential
12414,217,3,562.41,300,16,187.47,2,At-Risk / Low-Engagement
12415,24,21,124914.53,77374,444,5948.310952380953,0,High-Value / Champions
12417,3,9,3649.1,1552,158,405.4555555555555,0,High-Value / Champions
12418,113,1,668.58,407,34,668.58,2,At-Risk / Low-Engagement
12420,64,1,600.39,345,29,600.39,2,At-Risk / Low-Engagement
12421,16,4,807.04,484,32,201.76,1,Regular / Growth Potential
12422,96,3,803.5600000000001,370,39,267.85333333333335,1,Regular / Growth Potential
12423,1,8,1859.31,1339,97,232.41375,0,High-Value / Champions
12424,163,2,1760.96,740,30,880.48,1,Regular / Growth Potential
12425,78,1,777.2,496,36,777.2,2,At-Risk / Low-Engagement
12426,195,1,582.73,258,30,582.73,2,At-Risk / Low-Engagement
12427,22,3,825.8,533,26,275.26666666666665,1,Regular / Growth Potential
12428,26,9,7956.46,3536,258,884.0511111111111,0,High-Value / Champions
12429,9,4,3750.4,1557,82,937.6,0,High-Value / Champions
12430,43,1,256.4,117,11,256.4,2,At-Risk / Low-Engagement
12431,36,15,6419.95,2896,163,427.99666666666667,0,High-Value / Champions
12432,43,5,5059.32,1801,107,1011.8639999999999,0,High-Value / Champions
12433,1,7,13375.87,11071,219,1910.8385714285716,0,High-Value / Champions
12434,85,2,806.14,394,46,403.07,1,Regular / Growth Potential
12435,80,2,7829.89,2055,31,3914.945,1,Regular / Growth Potential
12436,100,1,509.01,211,16,509.01,2,At-Risk / Low-Engagement
12437,2,18,4951.41,2922,118,275.0783333333333,0,High-Value / Champions
12438,14,2,2906.85,1180,84,1453.425,1,Regular / Growth Potential
12441,367,1,173.55,121,11,173.55,2,At-Risk / Low-Engagement
12442,3,1,172.06,182,12,172.06,1,Regular / Growth Potential
12444,21,5,5005.46,1153,138,1001.092,0,High-Value / Champions
12445,22,1,133.4,62,4,133.4,2,At-Risk / Low-Engagement
12446,58,1,1002.3100000000001,351,57,1002.3100000000001,1,Regular / Growth Potential
12447,243,1,476.49,190,26,476.49,2,At-Risk / Low-Engagement
12448,44,1,449.45,243,22,449.45,2,At-Risk / Low-Engagement
12449,22,4,4067.29,1553,118,1016.8225,1,Regular / Growth Potential
12450,156,2,197.88,128,7,98.94,2,At-Risk / Low-Engagement
12451,11,5,9035.52,6575,265,1807.104,0,High-Value / Champions
